CUS2018080006,INDIA TRUST,33ACBPV8092J1Z5,"R2, 13TH STREET, SANTHAM COLONY, ANNA NAGAR WEST EXTENSION, THIRUMANGALAM, CHENNAI - 600101","R2, 13TH STREET, SANTHAM COLONY, ANNA NAGAR WEST EXTENSION, THIRUMANGALAM, CHENNAI - 600101",CHENNAI,,600101,9500005541,,"CORPORATE@INDIATRUST.EDUCATION, CHARACTERFORNATION@GMAIL.COM, MOMFORINDIA@GMAIL.COM",33,2,PRE PAID,ACTIVE,,,,
CUS2018080007,CYBORG INFOTECH,33BAJPS2751J2ZG,"#8, GROUND FLOOR, 102, REAL REGENCY COMPLEX, PYCROFTS ROAD ROYAPETTAH, CHENNAI - 600014","#8, GROUND FLOOR, 102, REAL REGENCY COMPLEX, PYCROFTS ROAD ROYAPETTAH, CHENNAI - 600014",CHENNAI,,600014,9840103366,,CYBORG13INFOTECH@GMAIL.COM,33,2,PRE PAID,ACTIVE,,,,
CUS2018080008,S.V.T ASSOCIATES,33AAUFS5054L1ZM,"#43, KANAGARAYA MALAIAPPAN STREET, MANDAVELIPAKKAM, CHENNAI - 600028","#43, KANAGARAYA MALAIAPPAN STREET, MANDAVELIPAKKAM, CHENNAI - 600028",CHENNAI,,600028,9840960032,,SVTASSOCIATES@GMAIL.COM,33,2,PRE PAID,ACTIVE,,,,
CUS2018090001,EBRAMHA INC,0,"#20, 1ST MAIN ROAD, GANESH NAGAR, IYAPPA NAGAR, MADIPAKKAM, CHENNAI - 600091","#20, 1ST MAIN ROAD, GANESH NAGAR, IYAPPA NAGAR, MADIPAKKAM, CHENNAI - 600091",CHENNAI,,600091,9840285200,,MURALIEBRAMHA@GMAIL.COM,33,2,PRE PAID,ACTIVE,,,,
CUS2018080012,NIPPON KOEI INDIA PVT LTD.,33AACCN8035H1ZL,"PMC FOR TAMIL NADU HEALTH CARE PROJECT, 1ST FLOOR, DMS ANNEX BUILDING, DMS CAMPUS, 359, ANNA SALAI, TEYNAPET.","PMC FOR TAMIL NADU HEALTH CARE PROJECT, 1ST FLOOR, DMS ANNEX BUILDING, DMS CAMPUS, 359, ANNA SALAI, TEYNAPET.",CHENNAI,,600006,9176646383,,RAJESH@NIPPON.IN,33,2,PRE PAID,ACTIVE,,,,
CUS2018080003,WEBMUTANT TECHNOLOGIES,0,"NO: 1& 2, 2ND FLOOR,
 PRAKASAM SALAI APOLLO CLINIC BUILDING, VALASARAVAKKAM.","NO: 1& 2, 2ND FLOOR,
 PRAKASAM SALAI APOLLO CLINIC BUILDING, VALASARAVAKKAM.",CHENNAI,,600087,9790967682,,K9790967682@GMAIL.COM,33,2,PRE PAID,ACTIVE,,,,
CUS2018080009,APPTIUM TECHNOLOGIES INDIA PVT LTD,33AANCA1916H1ZV,"SP INFOCITY, BLOCK-A, EAST WING, 1ST FLOOR, #40, MGR NEDUNCHALAI SOUTH, KANDANCHAVADI PERUNGUDI,CHENNAI - 600096","SP INFOCITY, BLOCK-A, EAST WING, 1ST FLOOR, #40, MGR NEDUNCHALAI SOUTH, KANDANCHAVADI PERUNGUDI,CHENNAI - 600096",CHENNAI,,600096,9941466222,,SKUMAR@APPTIUM.COM,33,2,PRE PAID,ACTIVE,,,,
CUS2018080015,POORVIKA MOBILES PVT LTD,33AAECP9975G1Z0,"AGR PLATINA, NO: 32, DEVELOPED PLOT NP, GUINDY INDUSTRIAL ESTATE, EKKATUTHANGAL, CHENNAI - 600032","AGR PLATINA, NO: 32, DEVELOPED PLOT NP, GUINDY INDUSTRIAL ESTATE, EKKATUTHANGAL, CHENNAI - 600032",CHENNAI,,600032,9789997855,,POORVIKA@GMAIL.COM,33,2,PRE PAID,ACTIVE,,,,
CUS2018080018,RIDH ENGINEERING SERVICES,33AASFR5040F1Z8,"#236, 2ND FLOOR, P.R.PLAZA, VELACHERY TAMBARAM MAIN ROAD, SELAIYUR, CHENNAI - 600073","#236, 2ND FLOOR, P.R.PLAZA, VELACHERY TAMBARAM MAIN ROAD, SELAIYUR, CHENNAI - 600073",CHENNAI,,600073,8939846349,,"DAD@RIDHENGG.COM, BKN@RIDHENGG.COM",33,2,PRE PAID,ACTIVE,,,,
CUS2018080020,CAPITAL RECORD CENTRE PVT LTD,33AADCC6150F1Z3,"E28, THIRU-VI-KA ROAD, MM NAGAR INDUSTRIAL ESTATE, MM NAGAR, CHENNAI - 603209","E28, THIRU-VI-KA ROAD, MM NAGAR INDUSTRIAL ESTATE, MM NAGAR, CHENNAI - 603209",CHENNAI,,603209,9884000629,,PRAKASH@CAPITALRECORD.IN,33,2,PRE PAID,ACTIVE,,,,
CUS2018080021,SRIV TESTING CONSULTANTS HUB PRIVATE LIMITED,33AAUCS3982N1ZF,"PLOT NO: 70, DARSHAN VILLA, 2ND CROSS, CHANDRASEKAR, PTC, THORAIPAKKAM, CHENNAI - 600097","PLOT NO: 70, DARSHAN VILLA, 2ND CROSS, CHANDRASEKAR, PTC, THORAIPAKKAM, CHENNAI - 600097",CHENNAI,,600097,8678995500,,ADMIN@SRIVTESTING.COM,33,2,PRE PAID,ACTIVE,,,,
CUS2018090002,LANSON MOTORS PRIVATE LTD,33AAACL7624G1ZQ,"NO. 34 POONAMALLE HIGH ROAD						KOYAMBEDU, CHENNAI-600107","NO. 34 POONAMALLE HIGH ROAD						KOYAMBEDU, CHENNAI-600107",CHENNAI,,600107,9940669515,,EDP@LANSONTOYOTA.COM,33,2,PRE PAID,ACTIVE,,,,
CUS2018090003,ABRAX AUTODETAIL PRIVATE LIMITED,33AAPCA3333A1Z8,"NO 5, FIRST FLOOR, LENIN COMPLEX, CAMP ROAD JN. SELAIYUR,
 CHENNAI, 600073","NO 5, FIRST FLOOR, LENIN COMPLEX, CAMP ROAD JN. SELAIYUR,
 CHENNAI, 600073",CHENNAI,,600073,9962403630,,"CEO@CARPARLOUR.COM, SANJAY@CARPARLOUR.COM, ANITHA@CARPARLOUR.COM",33,2,PRE PAID,ACTIVE,,,,
CUS2018080010,BLUSTRIP 365,0,"NO.33 SEEVARAM 3RD STREET, PERUNGUDI
 CHENNAI - 600096","NO.33 SEEVARAM 3RD STREET, PERUNGUDI
 CHENNAI - 600096",CHENNAI,,600096,9677214272,,BLUESTRIP@GMAIL.COM,33,2,PRE PAID,ACTIVE,,,,
CUS2018080011,FIDELITAS RCM PVT LTD,33AACCF8147L1ZF,"2ND FLOOR, 27 VELLALAR STREET, ADAMBAKKAM, CHENNAI - 600097.","2ND FLOOR, 27 VELLALAR STREET, ADAMBAKKAM, CHENNAI - 600097.",CHENNAI,,600097,9840199694,,FIDELITAS@GMAIL.COM,33,2,PRE PAID,ACTIVE,,,,
CUS2018080013,ARRIS ENGINEERING SERVICES PVT LTD,33AAMCA4256F1ZT,"#22F, 3RD FLOOR, THIRU-VI-KA INDUSTRIAL ESTATE, EKKATUTHANGAL, CHENNAI - 600032","#22F, 3RD FLOOR, THIRU-VI-KA INDUSTRIAL ESTATE, EKKATUTHANGAL, CHENNAI - 600032",CHENNAI,,600032,9894853721,,ARRISENG@GMAIL.COM,33,2,PRE PAID,ACTIVE,,,,
CUS2018080014,HOCAPS FACILITY MANAGEMENT PVT LTD,33AADCH0911P1Z0,"#1/17, 12TH STREET, VENKATESHWARA NAGAR, RAMAPURAM, CHENNAI - 600089.","#1/17, 12TH STREET, VENKATESHWARA NAGAR, RAMAPURAM, CHENNAI - 600089.",CHENNAI,,600089,8939818925,,ADMIN@HOCAPS.IN,33,2,PRE PAID,ACTIVE,,,,
